model,roc_auc,accuracy,precision,recall,f1
Logistic Regression,0.8450915807693301,0.7998580553584103,0.6586206896551724,0.5106951871657754,0.5753012048192772
Random Forest,0.842900875765326,0.8005677785663591,0.6597938144329897,0.5133689839572193,0.5774436090225564
XGBoost,0.8350590301996953,0.7877927608232789,0.6245847176079734,0.5026737967914439,0.557037037037037
